"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Mike Trout","Angels","140","625","497","153","29","5","37","121","126","114","121","10","23","3",".308",".443",".610","1.053",".436","2.0","2.9","9.2","1.1","10155"
"J.D. Martinez","Red Sox","144","623","545","170","33","2","41","104","130","69","140","3","5","1",".312",".388",".606",".994",".414","-4.0","0.2","4.9","5.9","6184"
"Aaron Judge","Yankees","147","653","538","152","26","2","44","125","129","103","186","7","6","2",".283",".401",".584",".985",".413","8.0","-0.1","7.4","14.8","15640"
"Joey Votto","Reds","153","673","540","169","34","2","27","98","116","120","92","7","4","0",".313",".440",".533",".973",".412","4.0","0.3","6.4","65.3","4314"
"Nolan Arenado","Rockies","156","685","600","181","40","5","41","108","129","75","113","3","5","2",".302",".378",".590",".968",".402","8.0","-0.2","6.6","7.2","9777"
"Mookie Betts","Red Sox","152","687","594","186","46","4","30","124","110","83","83","4","30","4",".313",".397",".556",".953",".402","16.0","3.9","8.1","1.9","13611"
"Bryce Harper","Phillies","149","652","528","148","35","1","37","104","121","112","140","4","10","3",".280",".405",".561",".966",".401","-3.0","0.4","5.6","17.2","11579"
"Jose Ramirez","Indians","156","689","589","174","45","4","34","106","120","90","75","5","26","5",".295",".390",".559",".949",".398","3.0","2.7","7.5","4.0","13510"
"Justin Turner","Dodgers","137","594","511","163","36","1","23","87","101","62","61","15","5","1",".319",".404",".528",".932",".398","0.0","0.2","6.3","108.4","5235"
"Freddie Freeman","Braves","154","676","583","181","42","4","30","98","115","80","117","8","6","2",".310",".398",".551",".949",".397","5.0","0.0","5.7","21.4","5361"
"Kris Bryant","Cubs","148","658","555","161","38","4","31","108","111","81","128","18","6","3",".290",".395",".541",".936",".397","-1.0","-0.5","6.4","32.1","15429"
"Christian Yelich","Brewers","150","668","584","179","36","4","30","110","110","74","129","6","19","3",".307",".388",".536",".924",".393","2.0","2.1","5.9","6.9","11477"
"Alex Bregman","Astros","154","683","585","170","46","4","30","104","112","85","85","9","12","3",".291",".387",".537",".923",".392","-1.0","0.7","7.1","13.8","17678"
"Paul Goldschmidt","Cardinals","154","676","574","168","32","4","33","101","115","91","143","7","12","2",".293",".393",".535",".928",".391","2.0","1.1","5.4","18.7","9218"
"Juan Soto","Nationals","147","639","545","159","33","5","28","92","110","93","120","0","7","2",".292",".394",".525",".919",".390","-3.0","0.2","4.7","35.4","20123"
"Rhys Hoskins","Phillies","156","677","564","146","37","2","39","103","124","96","141","10","5","1",".259",".372",".539",".911",".386","-1.0","0.2","4.7","39.1","16472"
"Anthony Rendon","Nationals","144","626","545","165","44","2","25","90","102","67","79","7","5","2",".303",".382",".528",".910",".386","6.0","-0.2","6.1","43.2","12861"
"Ronald Acuna Jr.","Braves","151","680","602","176","37","8","33","126","109","67","154","6","27","8",".292",".366",".545",".911",".386","1.0","1.7","5.4","8.2","18401"
"Michael Conforto","Mets","147","633","538","150","32","2","32","93","114","82","139","9","5","2",".279",".381",".524",".905",".384","1.0","-0.2","5.3","105.8","16376"
"Giancarlo Stanton","Yankees","148","640","558","151","32","1","43","106","123","70","171","7","5","1",".271",".356",".563",".919",".384","4.0","0.2","4.8","21.5","4949"
"Mitch Haniger","Mariners","151","672","580","168","38","5","28","110","104","73","132","13","8","2",".290",".378",".517",".895",".382","2.0","0.3","5.8","95.6","14274"
"Anthony Rizzo","Cubs","152","671","571","163","33","3","31","99","109","75","79","20","6","2",".285",".385",".517",".901",".382","3.0","-0.1","4.7","37.3","3473"
"Jose Altuve","Astros","152","681","606","197","40","4","19","104","95","63","76","8","26","5",".325",".394",".498",".892",".381","-2.0","2.7","6.6","14.9","5417"
"Tyler White","Astros","136","553","484","139","31","2","27","88","94","57","97","7","3","1",".287",".367",".527",".894",".380","-1.0","-0.2","3.9","260.1","15564"
"Jesse Winker","Reds","139","608","516","158","30","0","20","87","91","82","76","5","4","2",".306",".403",".481",".884",".380","-8.0","-0.5","3.3","189.1","13590"
"Charlie Blackmon","Rockies","156","716","639","194","32","8","30","127","97","63","120","11","14","5",".304",".374",".520",".894",".380","-6.0","0.3","3.9","27.9","7859"
"Miguel Cabrera","Tigers","128","555","484","147","30","0","24","83","92","64","81","3","0","0",".304",".386",".514",".900",".380","0.0","-0.4","3.7","160.5","1744"
"Josh Donaldson","Braves","136","598","509","137","31","2","30","98","98","81","124","5","5","1",".269",".373",".515",".888",".379","4.0","0.2","5.4","102.6","5038"
"Eugenio Suarez","Reds","154","668","577","162","30","2","34","98","115","77","138","9","4","2",".281",".371",".516",".888",".378","0.0","-0.5","5.4","54.0","12552"
"Tommy Pham","Rays","147","647","559","161","31","5","26","94","100","77","139","8","19","5",".288",".380",".501",".881",".378","4.0","1.3","5.8","57.5","2967"
"Luke Voit","Yankees","126","519","455","126","22","2","28","85","90","53","127","9","1","1",".277",".362",".519",".881",".376","-2.0","-0.5","3.0","183.8","14811"
"Daniel Murphy","Rockies","144","634","580","186","33","2","27","95","98","43","71","5","8","2",".321",".369",".524",".893",".376","-2.0","0.4","3.1","65.7","4316"
"Max Muncy","Dodgers","135","576","483","128","22","2","29","90","101","84","133","6","4","1",".265",".378",".499",".877",".376","-1.0","0.0","3.8","120.5","13301"
"Carlos Correa","Astros","139","602","524","151","33","2","28","90","101","68","115","3","7","1",".288",".369",".519",".888",".376","-2.0","0.6","5.8","48.9","14162"
"Jose Abreu","White Sox","147","638","575","168","41","3","31","95","106","43","109","14","5","1",".292",".353",".536",".888",".373","-4.0","0.2","3.6","87.1","15676"
"Xander Bogaerts","Red Sox","150","648","577","171","40","4","25","88","103","61","103","6","11","2",".296",".367",".510",".877",".373","1.0","1.0","5.7","48.1","12161"
"Trevor Story","Rockies","148","640","581","162","38","5","35","97","112","52","155","5","21","5",".279",".342",".542",".884",".373","2.0","1.8","4.8","16.6","12564"
"Shohei Ohtani","Angels","121","523","465","133","25","2","25","78","89","54","124","3","8","2",".286",".363",".510",".873",".372","-1.0","0.5","3.0","194.4","19755"
"Nelson Cruz","Twins","147","631","553","152","25","1","37","98","114","60","122","12","2","0",".275",".355",".524",".879",".372","-1.0","0.0","3.2","95.8","2434"
"Vladimir Guerrero Jr.","Blue Jays","132","578","506","150","30","3","24","85","89","55","76","7","4","1",".296",".367",".510",".877",".371","-2.0","0.0","4.4","46.2","sa920245"
"Peter Alonso","Mets","131","549","472","121","33","1","30","90","98","59","129","14","1","1",".256",".353",".521",".875",".371","-2.0","-0.5","2.9","231.6","sa873981"
"Andrew Benintendi","Red Sox","150","685","601","179","41","7","22","118","86","73","100","4","23","5",".298",".374",".499",".873",".371","3.0","2.1","4.8","29.6","17901"
"Francisco Lindor","Indians","151","684","610","176","41","3","32","126","100","62","91","5","19","4",".289",".355",".523",".878",".371","11.0","1.8","7.0","16.1","12916"
"Brandon Nimmo","Mets","142","652","539","146","29","6","18","115","76","99","151","13","11","5",".271",".396",".447",".843",".370","0.0","-0.3","4.7","174.3","12927"
"Manny Machado","Padres","152","671","603","175","34","2","35","103","108","60","104","2","11","3",".290",".353",".527",".881",".369","4.0","0.6","6.0","19.2","11493"
"Khris Davis","Athletics","155","667","582","146","28","1","46","108","125","69","168","9","4","1",".251",".336",".540",".875",".368","-4.0","0.0","3.3","44.5","9112"
"Matt Carpenter","Cardinals","145","655","544","142","35","3","27","121","92","99","131","7","5","2",".261",".379",".485",".864",".368","-1.0","-0.2","5.0","72.5","8090"
"Cody Bellinger","Dodgers","156","669","588","158","33","5","36","98","116","74","140","3","16","2",".269",".351",".526",".877",".368","3.0","2.0","5.4","44.2","15998"
"Corey Seager","Dodgers","141","632","564","169","33","3","23","114","89","61","104","4","4","2",".300",".370",".491",".861",".368","3.0","-0.4","5.8","86.6","13624"
"Gleyber Torres","Yankees","148","603","536","154","28","4","26","89","95","58","122","5","10","4",".287",".360",".500",".860",".368","-2.0","0.0","4.5","67.8","16997"
"Miguel Andujar","Yankees","146","605","555","163","43","3","28","91","99","36","89","6","6","3",".294",".339",".533",".872",".367","-7.0","-0.3","3.9","82.3","15878"
"Nicholas Castellanos","Tigers","153","667","603","173","40","7","29","94","104","54","129","5","5","2",".287",".348",".521",".869",".367","-10.0","-0.2","3.5","96.1","11737"
"Joey Gallo","Rangers","146","617","530","119","25","4","44","108","119","81","188","6","6","2",".225",".334",".536",".870",".367","1.0","0.1","3.5","99.2","14128"
"Carlos Santana","Indians","156","660","551","140","30","3","30","95","109","101","76","3","6","2",".254",".370",".483",".852",".366","1.0","0.0","3.3","201.6","2396"
"Franmil Reyes","Padres","140","601","540","153","28","2","31","90","102","53","142","3","1","1",".283",".348",".515",".863",".366","-5.0","-0.6","3.2","223.2","14566"
"David Dahl","Rockies","143","614","564","162","29","6","30","89","102","46","138","2","14","4",".287",".342",".520",".862",".365","1.0","0.8","2.8","69.7","13744"
"Eloy Jimenez","White Sox","138","590","542","159","30","3","29","86","99","40","96","4","2","1",".293",".344",".520",".864",".365","-1.0","-0.3","3.4","121.3","sa830373"
"Willy Adames","Rays","153","651","575","170","30","6","21","85","99","68","144","3","15","5",".296",".370",".478",".848",".365","0.0","0.5","5.7","250.3","15986"
"Kyle Schwarber","Cubs","144","609","517","131","21","3","33","95","106","87","155","4","4","2",".253",".365",".497",".862",".364","5.0","-0.4","4.0","212.3","16478"
"Brandon Belt","Giants","140","607","524","143","30","5","23","84","91","75","125","5","6","3",".273",".367",".481",".848",".364","6.0","-0.4","3.9","427.0","10264"
"Matt Chapman","Athletics","151","666","589","160","42","6","28","101","98","67","153","6","4","2",".272",".350",".506",".856",".364","13.0","-0.4","6.5","113.6","16505"
"Robinson Cano","Mets","146","633","563","167","35","1","23","87","93","60","74","6","3","2",".297",".368",".485",".853",".363","2.0","-0.6","5.2","125.1","3269"
"Michael Brantley","Astros","144","601","539","164","36","2","19","81","89","51","54","4","14","2",".304",".364",".484",".849",".363","0.0","1.6","4.1","120.2","4106"
"Aaron Hicks","Yankees","138","612","512","134","22","2","26","94","90","91","108","3","14","4",".262",".373",".465",".837",".363","5.0","0.7","5.1","121.9","5297"
"Gary Sanchez","Yankees","128","545","473","123","25","0","29","83","93","61","125","7","2","0",".260",".350",".497",".847",".362","2.0","0.1","5.0","54.5","11442"
"Marcell Ozuna","Cardinals","148","634","576","167","25","4","29","89","103","53","109","2","4","2",".290",".350",".498",".848",".362","3.0","-0.4","4.0","81.4","10324"
"Yasiel Puig","Reds","146","630","563","156","27","3","32","91","105","58","107","4","16","5",".277",".346",".506",".852",".361","2.0","0.8","3.7","69.8","14225"
"Kyle Tucker","Astros","112","451","397","113","21","4","18","64","70","43","79","5","11","3",".285",".357",".494",".851",".361","0.0","0.7","2.6","312.4","18345"
"Stephen Piscotty","Athletics","149","641","576","160","39","2","28","88","102","50","107","11","5","2",".278",".345",".498",".843",".360","1.0","-0.2","4.0","156.2","13367"
"Jesus Aguilar","Brewers","142","608","532","144","24","1","31","88","101","63","144","6","0","0",".271",".350",".494",".845",".360","0.0","-0.4","2.7","80.2","11342"
"Scooter Gennett","Reds","148","635","582","173","33","3","24","84","97","46","109","4","6","2",".297",".351",".488",".839",".359","-1.0","0.0","4.1","92.2","10339"
"Adam Eaton","Nationals","126","560","482","141","27","6","9","73","66","63","84","13","12","3",".293",".388",".429",".817",".359","-1.0","0.8","3.1","197.4","11205"
"George Springer","Astros","141","646","566","155","27","2","27","123","81","68","118","9","5","3",".274",".359",".472",".831",".359","-1.0","-0.6","4.6","63.5","12856"
"Miguel Sano","Twins","137","582","514","129","30","2","33","90","100","64","181","2","0","0",".251",".335",".510",".845",".358","-2.0","-0.3","3.6","259.9","12164"
"Travis Shaw","Brewers","146","620","541","141","33","1","31","90","102","70","107","4","6","1",".261",".347",".497",".844",".358","0.0","0.4","4.1","98.4","11982"
"Jose Martinez","Cardinals","108","449","406","124","21","1","14","59","65","39","72","1","2","0",".305",".365",".466",".831",".358","-2.0","0.1","2.2","236.6","7996"
"J.T. Realmuto","Phillies","137","589","534","154","33","3","23","78","90","43","101","8","5","1",".288",".348",".491",".839",".358","3.0","0.2","5.2","45.9","11739"
"Matt Olson","Athletics","156","667","586","149","35","1","35","97","111","73","151","5","5","1",".254",".340",".497",".837",".357","9.0","0.2","4.4","111.8","14344"
"Lorenzo Cain","Brewers","141","646","566","172","26","3","13","107","68","71","90","6","28","5",".304",".385",".429",".815",".357","8.0","3.1","5.3","61.7","9077"
"Domingo Santana","Mariners","146","613","541","148","27","1","27","88","98","63","167","5","8","2",".274",".352",".477",".829",".357","-1.0","0.4","3.7","211.7","10348"
"Ji-Man Choi","Rays","125","534","467","126","28","1","25","75","85","54","99","4","6","2",".270",".345",".495",".839",".356","1.0","0.1","2.4","554.2","5452"
"Ryan Zimmerman","Nationals","121","509","457","127","28","1","22","72","80","43","87","4","2","0",".278",".342",".488",".830",".354","1.0","0.1","2.2","396.4","4220"
"Justin Upton","Angels","146","627","553","145","29","1","30","87","99","65","168","6","8","2",".262",".345",".481",".826",".354","-2.0","0.4","3.5","103.4","5222"
"Christin Stewart","Tigers","150","641","552","145","24","3","27","86","98","74","123","9","2","0",".263",".356",".464",".819",".354","-11.0","0.0","2.1","407.3","17714"
"Jeff McNeil","Mets","124","533","482","146","28","6","11","60","70","37","55","11","14","2",".303",".364",".454",".818",".353","2.0","1.6","4.1","320.6","15362"
"Josh Bell","Pirates","156","671","577","154","33","5","23","83","97","87","101","2","4","3",".267",".362",".461",".823",".353","-3.0","-0.9","2.5","263.7","13145"
"Jurickson Profar","Athletics","156","698","618","167","38","5","24","111","92","66","80","12","14","3",".270",".351",".464",".815",".353","1.0","1.1","5.2","128.5","10815"
"Wilson Ramos","Mets","124","521","478","142","26","0","20","70","78","38","83","1","1","0",".297",".347",".477",".824",".352","1.0","-0.1","4.5","132.0","1433"
"Edwin Encarnacion","Mariners","132","563","491","124","21","1","31","82","93","61","108","5","1","0",".253",".337",".489",".826",".352","-1.0","-0.1","2.3","136.8","2151"
"Trey Mancini","Orioles","152","653","602","173","28","4","28","87","100","41","131","6","4","2",".287",".337",".487",".824",".352","-4.0","-0.4","2.5","249.6","15149"
"Yoan Moncada","White Sox","147","650","567","149","31","6","24","93","88","76","180","4","17","5",".263",".352",".466",".818",".352","0.0","1.0","4.5","154.3","17232"
"Jake Bauers","Indians","146","600","514","134","37","2","20","77","83","75","113","5","12","4",".261",".357",".457",".814",".351","1.0","0.4","2.4","233.6","15194"
"Yasmani Grandal","Brewers","138","573","492","122","27","1","26","81","89","76","116","2","3","2",".248",".349",".465",".814",".351","2.0","-0.6","4.5","120.1","11368"
"Andrew McCutchen","Phillies","149","636","544","142","29","3","23","80","93","82","121","6","11","4",".261",".362",".452",".814",".351","-2.0","0.2","3.0","137.5","9847"
"Brian Dozier","Nationals","138","586","513","130","27","3","28","83","93","64","110","6","12","2",".253",".341",".481",".823",".351","-1.0","1.2","3.3","142.3","9810"
"Justin Smoak","Blue Jays","143","617","532","135","30","0","26","82","92","80","149","3","1","1",".254",".353",".457",".810",".351","0.0","-0.6","2.6","230.7","9054"
"Ramon Laureano","Athletics","138","589","512","138","30","6","17","70","81","61","147","11","23","5",".270",".357",".451",".808",".350","10.0","2.2","5.2","183.8","17128"
"A.J. Pollock","Dodgers","130","577","521","146","29","5","20","82","76","44","93","8","21","4",".280",".343",".470",".813",".348","3.0","2.2","4.3","111.9","9256"
"Victor Robles","Nationals","142","587","515","143","27","8","13","68","75","41","106","28","32","9",".278",".361",".437",".798",".348","6.0","2.3","4.2","92.3","18363"
"Paul DeJong","Cardinals","138","590","528","138","34","2","27","80","91","47","135","10","4","2",".261",".331",".487",".817",".348","8.0","-0.3","4.9","181.6","18015"
"Scott Schebler","Reds","123","508","450","116","21","3","24","72","77","43","110","12","5","2",".258",".337",".478",".814",".347","-3.0","-0.1","2.1","475.0","12225"
"Randal Grichuk","Blue Jays","146","627","577","149","38","4","33","88","100","41","144","6","6","2",".258",".313",".510",".822",".347","3.0","0.1","3.3","246.6","10243"
"Tyler O'Neill","Cardinals","114","475","423","111","18","3","24","68","74","40","128","5","8","1",".262",".328",".489",".818",".347","7.0","0.9","3.0","371.0","15711"
"Javier Baez","Cubs","154","663","616","174","35","5","30","89","100","37","161","7","18","5",".282",".329",".502",".830",".347","5.0","1.2","4.8","17.4","12979"
"Ketel Marte","Diamondbacks","151","675","602","172","31","8","17","100","80","66","76","3","9","2",".286",".357",".449",".806",".347","0.0","0.5","3.9","223.8","13613"
"Hunter Renfroe","Padres","144","610","558","144","32","3","34","91","100","43","135","5","4","1",".258",".315",".509",".824",".347","-2.0","0.1","2.6","202.4","15464"
"Yoenis Cespedes","Mets","38","162","145","39","8","0","8","22","25","13","38","2","1","0",".269",".333",".490",".823",".347","-1.0","0.1","0.7","541.1","13110"
